,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
536,All the President's Men,"Biography, Drama, History","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,president men biography drama history washington post reporters bob woodward carl bernstein uncover details watergate scandal leads president richard nixon resignation alan j pakula dustin hoffman robert redford jack warden martin balsam
537,La montaña sagrada,"Adventure, Drama, Fantasy","In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,la monta sagrada adventure drama fantasy corrupt greed fueled world powerful alchemist leads messianic character seven materialistic figures holy mountain hope achieve enlightenment alejandro jodorowsky alejandro jodorowsky horacio salinas zamira saunders juan ferrara
538,Amarcord,"Comedy, Drama, Family",A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia,amarcord comedy drama family series comedic nostalgic vignettes set 1930s italian coastal town federico fellini magali l bruno zanin pupella maggio armando brancia
539,Le charme discret de la bourgeoisie,Comedy,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,le charme discret de la bourgeoisie comedy surreal virtually plotless series dreams centered around six middle class people consistently interrupted attempts meal together luis bu uel fernando rey delphine seyrig paul frankeur bulle ogier
540,"Aguirre, der Zorn Gottes","Action, Adventure, Biography","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,aguirre der zorn gottes action adventure biography 16th century ruthless insane lope de aguirre leads spanish expedition search el dorado werner herzog klaus kinski ruy guerra helena rojo del negro
541,Harold and Maude,"Comedy, Drama, Romance","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack,harold maude comedy drama romance young rich obsessed death harold finds changed forever meets lively septuagenarian maude funeral hal ashby ruth gordon bud cort vivian pickles cyril cusack
542,Patton,"Biography, Drama, War",The World War II phase of the career of controversial American general George S. Patton.,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,patton biography drama war world war ii phase career controversial american general george patton franklin j schaffner george c scott karl malden stephen young michael strong
543,The Wild Bunch,"Action, Adventure, Western","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,wild bunch action adventure western aging group outlaws look one last big score traditional american west disappearing around sam peckinpah william holden ernest borgnine robert ryan edmond brien
544,Night of the Living Dead,"Horror, Thriller",A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,night living dead horror thriller ragtag group pennsylvanians barricade old farmhouse remain safe horde flesh eating ghouls ravaging east coast united states george romero duane jones judith dea karl hardman marilyn eastman
545,The Lion in Winter,"Biography, Drama, History","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle,lion winter biography drama history 1183 king henry ii three sons want inherit throne commit choice wife variously plot force anthony harvey peter toole katharine hepburn anthony hopkins john castle
546,In the Heat of the Night,"Crime, Drama, Mystery",A black police detective is asked to investigate a murder in a racially hostile southern town.,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,heat night crime drama mystery black police detective asked investigate murder racially hostile southern town norman jewison sidney poitier rod steiger warren oates lee grant
547,Charade,"Comedy, Mystery, Romance",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,charade comedy mystery romance romance suspense ensue paris woman pursued several men want fortune murdered husband stolen trust stanley donen cary grant audrey hepburn walter matthau james coburn
548,The Manchurian Candidate,"Drama, Thriller",A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,manchurian candidate drama thriller former prisoner war brainwashed unwitting assassin international communist conspiracy john frankenheimer frank sinatra laurence harvey janet leigh angela lansbury
549,Spartacus,"Adventure, Biography, Drama",The slave Spartacus leads a violent revolt against the decadent Roman Republic.,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,spartacus adventure biography drama slave spartacus leads violent revolt decadent roman republic stanley kubrick kirk douglas laurence olivier jean simmons charles laughton
550,L'avventura,"Drama, Mystery","A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Michelangelo Antonioni,Gabriele Ferzetti,Monica Vitti,Lea Massari,Dominique Blanchar,l avventura drama mystery woman disappears mediterranean boating trip search lover best friend become attracted michelangelo antonioni gabriele ferzetti monica vitti lea massari dominique blanchar
551,Hiroshima mon amour,"Drama, Romance",A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud,hiroshima mon amour drama romance french actress filming anti war film hiroshima affair married japanese architect share differing perspectives war alain resnais emmanuelle riva eiji okada stella dassas pierre barbaud
552,The Ten Commandments,"Adventure, Drama","Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson,ten commandments adventure drama moses egyptian prince learns true heritage hebrew divine mission deliverer people cecil b demille charlton heston yul brynner anne baxter edward g robinson
553,The Searchers,"Adventure, Drama, Western",An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond,searchers adventure drama western american civil war veteran embarks journey rescue niece comanches john ford john wayne jeffrey hunter vera miles ward bond
554,East of Eden,Drama,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",Elia Kazan,James Dean,Raymond Massey,Julie Harris,Burl Ives,east eden drama two brothers struggle maintain strict bible toting father favor elia kazan james dean raymond massey julie harris burl ives
555,High Noon,"Drama, Thriller, Western","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges,high noon drama thriller western town marshal despite disagreements newlywed bride townspeople around must face gang deadly killers alone high noon gang leader outlaw sent years ago arrives noon train fred zinnemann gary cooper grace kelly thomas mitchell lloyd bridges
556,Strangers on a Train,"Crime, Film-Noir, Thriller",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,strangers train crime film noir thriller psychopath forces tennis star comply theory two strangers get away murder alfred hitchcock farley granger robert walker ruth roman leo g carroll
557,Harvey,"Comedy, Drama, Fantasy","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Henry Koster,James Stewart,Wallace Ford,William H. Lynn,Victoria Horne,harvey comedy drama fantasy due insistence invisible six foot tall rabbit best friend whimsical middle aged man thought family insane may wiser anyone knows henry koster james stewart wallace ford william h lynn victoria horne
558,Miracle on 34th Street,"Comedy, Drama, Family","When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart,miracle 34th street comedy drama family nice old man claims santa claus institutionalized insane young lawyer decides defend arguing court real thing george seaton edmund gwenn maureen hara john payne gene lockhart
559,Notorious,"Drama, Film-Noir, Romance",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,notorious drama film noir romance woman asked spy group nazi friends south america far go ingratiate alfred hitchcock cary grant ingrid bergman claude rains louis calhern
560,The Big Sleep,"Crime, Film-Noir, Mystery","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,big sleep crime film noir mystery private detective philip marlowe hired wealthy family complex case seen murder blackmail might love howard hawks humphrey bogart lauren bacall john ridgely martha vickers
561,The Lost Weekend,"Drama, Film-Noir",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva,lost weekend drama film noir desperate life chronic alcoholic followed four day drinking bout billy wilder ray milland jane wyman phillip terry howard da silva
562,The Philadelphia Story,"Comedy, Romance","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey,philadelphia story comedy romance rich woman ex husband tabloid type reporter turn planned remarriage begins learn truth george cukor cary grant katharine hepburn james stewart ruth hussey
563,His Girl Friday,"Comedy, Drama, Romance",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart,girl friday comedy drama romance newspaper editor uses every trick book keep ace reporter ex wife remarrying howard hawks cary grant rosalind russell ralph bellamy gene lockhart
